Keyword,产品系列/类型,原类型,备注
pfgfcyst xfcnb spirax sarco,噪声与无效查询,,garbled query (batch-43)
rkfgfy spirax sarco,噪声与无效查询,,garbled query (batch-43)
rkfgfy spirax sarco ghjlfv,噪声与无效查询,,garbled query (batch-43)
spirax sarco ghjlfv,噪声与无效查询,,garbled query (batch-43)
spirax sarco tosic,噪声与无效查询,,irrelevant/noisy query (batch-43)
spirax sarco tosik,噪声与无效查询,,irrelevant/noisy query (batch-43)
spirax sarco youla,噪声与无效查询,,irrelevant/noisy query (batch-43)
spirax sarco para,噪声与无效查询,,preposition/no actionable intent (batch-43)
spirax sarco pero,噪声与无效查询,,preposition/no actionable intent (batch-43)
gafas de vista spirax sarco,噪声与无效查询,,irrelevant eyeglasses query (batch-43)
glass door spirax sarco,噪声与无效查询,,irrelevant glass door query (batch-43)
spirax sarco cake,噪声与无效查询,,irrelevant/noisy query (batch-43)
spirax sarco mamas,噪声与无效查询,,irrelevant/noisy query (batch-43)
spirax sarco ventiladores,噪声与无效查询,,fan/ventilator query outside known product taxonomy (batch-43)
spirax sarco ev141,电磁阀,,EV141 official search result: EV141 / EV142 MAGNEETVENTIEL / ELECTRO-DISTRIBUTEUR 3/2-5/2 (batch-44)
mst 18 spirax sarco,疏水阀,,Official search result: MST18 Steam Trap / Purgador de vapor MST18 (batch-45)
spirax sarco mst 18,疏水阀,,Official search result: MST18 Steam Trap / Purgador de vapor MST18 (batch-45)
spirax sarco bydrain,疏水阀,,Official search result: Bydrain Frost Protection Liquid Expansion Trap (batch-45)
spirax sarco vandudlader,疏水阀,,Official search result: Danish vandudlader / steam trap result (batch-45)
spirax sarco tramp,疏水阀,,Official search result: Spanish Trampas de vapor / steam traps (batch-45)
spirax sarco fole,截止阀,,Official search result: BSA/BSAT bellows stop valves / fole (batch-45)
fig 13 spirax sarco,过滤器,,Official search result: FIG.12/13/14 filters/strainers (batch-45)
fig 3716 spirax sarco,过滤器,,Official search result: Filtri/Filtro Fig. 3716 (batch-45)
bps 32ycv spirax sarco,疏水阀,,Official search result: BPC32YCV/BPS32Y balanced pressure thermostatic steam traps (batch-46)
spirax sarco 10 si2,球阀,,Official/local evidence: M10Si2 ball valve (batch-46)
n2000 spirax sarco,执行器,,Official search result: TN2000/PN2000 pneumatic actuator family (batch-46)
sdcv44 spirax sarco,止回阀,,Official search result: SDCV44 split disc check valve (batch-46)
sg2 spirax sarco,观视镜,,Official search result: SG1/SG2 sight glass (batch-46)
sv 56 spirax sarco,安全阀,,Official search result: SV568H/SV561H safety valves (batch-46)
spirax sarco t3,疏水阀,,Official search result: T3 bimetallic steam trap (batch-46)
pt2 spirax sarco,管道连接器,,Official search result: PT1/PT2/PT3 plug tails/connectors (batch-46)
spirax sarco pt1,管道连接器,,Official search result: PT1/PT2/PT3 plug tails/connectors (batch-46)
spirax sarco ss1,感应器,,Official search result: SS1 Spiratec sensor (batch-46)
spirax sarco th-125,疏水阀,,Official search result: RTH-125 balanced pressure steam trap (batch-46)
dlv 75 spirax sarco,减压阀,,Official search result: DLV7 direct acting pressure reducing valve; treated as DLV7 variant/spacing noise (batch-46)
spirax sarco el 5611,执行器,,Local model table and existing progress: EL5611 electric actuator (batch-47)
spirax sarco ci 250,过滤器,,Official search result: Cast Iron Strainers CI-250 (batch-47)
spirax sarco fig 106,球阀,,Official search result: Fig.106 ball valve / válvula de esfera (batch-47)
spirax sarco dfg 300,排污阀,,Official search result: DFG300 automatic/manual boiler blowdown valves (batch-47)
spirax sarco b5-125,疏水阀,,Local model table: B5-125 inverted bucket steam trap (batch-47)
spirax sarco m20,球阀,,Official search result: M20S/M20H ball valves (batch-48)
spirax sarco m111,流量计,,Official search result: M111 SPIRAFLO variable area flow meter (batch-48)
spirax sarco m140,球阀,,Official search result: M140Fa ball valve (batch-48)
s2000 spirax sarco,流量计算机,,Official search result: Scanner 2000 steam mass flow transmitter / flow computer (batch-49)
scaner s2000 spirax sarco,流量计算机,,Official search result: Scanner 2000 steam mass flow transmitter / flow computer; typo variant (batch-49)
scanner 2000 spirax sarco,流量计算机,,Official search result: Scanner 2000 steam mass flow transmitter / flow computer (batch-49)
scanner s2000 spirax sarco,流量计算机,,Official search result: Scanner 2000 steam mass flow transmitter / flow computer; S2000 variant (batch-49)
spirax sarco type 20,空气加湿器,,Official search result: Type 20 direct steam injection humidifier (batch-49)
spirax sarco 25,减压阀,product,Official search result: 25 Series pressure regulator (batch-49)
spirax sarco sv,安全阀,,Official search result: SV safety valves (batch-49)
spirax sarco bc,排污控制器,,Official search result: BC blowdown controllers (batch-49)
spirax sarco cp,电导率感应器,,Official search result: CP conductivity probe/electrode (batch-49)
thermoton spirax sarco,疏水阀,,Official search result: Thermoton Liquid Expansion Steam Traps (batch-50)
spirax sarco ce 43,控制阀,,Official search result: CE43 carbon steel cage design two-port control valves (batch-50)
spirax sarco 3 ce 43,控制阀,,CE43 token variant; official CE43 control valve evidence (batch-50)
spirax sarco ins15,喷射加热系统,,Local model table: INS steam direct injection heating system; INS15 variant (batch-50)
spirax sarco il1,润滑器,,Official search result: IL1/IL1M compressed air lubricator (batch-50)
conjunto lubrificador spirax sarco,润滑器,,"Portuguese semantic match: lubrificador/lubricator, aligned to IL1 compressed air lubricator evidence (batch-50)"
spirax sarco prs,减压阀,,Official search result: Pressure Reducing and Surplussing Valves (batch-50)
spirax sarco sx 65,过程控制器,,Official search result: SX65 Series Temperature Controller (batch-50)
spirax sarco wcv,止回阀,,Official search result: WCV wafer/swing check valves (batch-50)
mkii spirax sarco,混合阀,,Official search result: MkII steam/water mixing valve/station (batch-50)
spirax sarco mkii,混合阀,,Official search result: MkII steam/water mixing valve/station (batch-50)
bloques spirax sarco,双切断排放阀,,Official search result for blocks: Spirax SafeBloc DBB3 double block and bleed valve (batch-51)
spirax sarco blocks,双切断排放阀,,Official search result: SafeBloc DBB3 double block and bleed valve (batch-51)
piloto p spirax sarco,减压阀,,Official search result: 25P pilot operated pressure regulator / Piloto P pressure reducing pilot (batch-51)
spirax sarco s 25,减压阀,,Official search result: 25P/25PSS pressure reducing regulators/station; treated as Series 25 spacing variant (batch-51)
spirax sarco 14hp,过滤器,,Official search result: Fig 14HP carbon steel Y-type strainer (batch-51)
spirax sarco 34hp,过滤器,,Official search result: Fig 34HP carbon steel Y-type strainer (batch-51)
spirax sarco siphon,显示器,,Official search result: siphon for pressure gauge/manometer accessory (batch-51)
s 25 spirax sarco,减压阀,,Official search result: 25P/25PSS pressure reducing regulators/station; treated as Series 25 spacing variant (batch-51)
spirax sarco pt,变送器,,Official search result: Pressure Transmitter Model PT (batch-52)
s4a spirax sarco,汽水分离器,,Official search result: S4A fabricated steel separator / moisture separator (batch-52)
spirax sarco 125 yf,疏水阀,,Official search result: SMC32YF/BPC32YF steam traps; treated as 125 YF/YF trap variant query (batch-52)
spirax sarco actuadas,减压阀,,Official search result: válvulas redutoras de pressão auto-actuadas / self-actuated pressure reducing valves (batch-52)
spirax sarco actuadas on off,活塞阀,,Official search result: piston actuated on/off valves (batch-52)
dp spirax sarco,减压阀,,Official search result: DP Type Valve / DP pilot operated pressure reducing valves and DP pressure regulators (batch-53)
globo gsa spirax sarco,截止阀,,Official search result: Robinet GSA globe/stop valves (batch-53)
gsa 33 spirax sarco,截止阀,,Official search result: GSA globe/stop valve family; treated as GSA3/GSA spacing variant (batch-53)
gsa spirax sarco,截止阀,,Official search result: GSA9/GSA15/GSA3 globe/stop valves (batch-53)
gsa33 spirax sarco,截止阀,,Official search result: GSA globe/stop valve family; treated as GSA3/GSA spacing variant (batch-53)
d16 spirax sarco,疏水阀,,Official search result: TD16 thermodynamic steam trap; treated as omitted-T token (batch-53)
lanzas spirax sarco,空气加湿器,,Official search result: Type 20/40 direct steam injection humidifier lances (batch-53)
5s spirax sarco,减压阀,,Official search result: 25S self-operated valves / 25 Series pressure regulator family; treated as omitted-2 token (batch-53)
spirax sarco uv,溢流阀,,"Official search result: UV 3.5/S/Z overflow/surplussing valves for fluids, gases and steam (batch-54)"
spirax sarco uv rp,溢流阀,,Official search result: UV overflow/surplussing valves; RP treated as connection/spec suffix (batch-54)
spirax sarco rp,活塞阀,,Official search result: RP31/RP32/RP33 piston valves (batch-54)
spirax sarco bdv 980,排污阀,,Official search result: BDV blowdown/depressurisation valves; treated as BDV series query with numeric noise (batch-54)
spirax sarco b-2-180,疏水阀,,B-2-180 bucket trap family evidence from existing moved keyword: in-line horizontal bucket trap cover (batch-58)
spirax sarco b4,疏水阀,,Local model table: B4 inverted bucket steam trap; existing b4 variants already split to steam traps (batch-58)
spirax sarco sil,过滤器,,Official search result: sil/strainer result headed Fig 14 strainer/filter in steel; treated as strainer query (batch-61)
spirax sarco sps,冷凝水回收装置,,Official search result: SPS Series Stainless Steel Condensate Recovery Units (batch-61)
spirax sarco af,显示器,,Official search result: Auswertegerät / Fernanzeige AF for TVA and TFA flowmeters; treated as remote display/evaluation unit (batch-62)
spirax sarco b5,疏水阀,,Local model table: B5 inverted bucket steam trap; B-series trap evidence treated as bucket trap family (batch-63)
spirax sarco bdhr,排污控制系统,,Official search result: Blowdown Heat Recovery Modules BDHR Series; existing blowdown heat recovery terms are split to blowdown control system (batch-63)
hl spirax sarco,保护装置,,Official search result: HL17 High Limit Cut-out / protection valve; existing HL10/HL100 terms are split to protection devices (batch-64)
spirax sarco 6a,排空气阀,,"Official search result: 6A Air Vent; existing keyword ""spirax sarco 6a air vent"" already split to air vents (batch-64)"
spirax sarco purga,排污罐,,Official search top results: Tanques de Purga / blowdown tanks; existing tanque de purgas terms are split to blowdown vessels/tanks (batch-67)
